# ----------------------------------------
# All Web Site Data
# device
# 20140624-20140624
# ----------------------------------------

device_name	os_version	Pageviews	Unique Pageviews
MI+2S	4.1.1	385	250
2013022	4.2.1	335	214
MI+3	4.2.1	312	211
MI+2SC	4.1.1	241	165
MI+2	4.1.1	169	90
vivo+X3t	4.2.1	163	123
2013023	4.2.2	158	97
MI+2A	4.1.1	152	106
vivo+Y13	4.2.2	150	103
MI+1S	4.1.2	138	86
vivo+Y11i+T	4.2.2	134	91
2014011	4.2.2	121	90
R821T	4.2.2	117	87
HUAWEI+Y511-T00	4.2.2	114	92
vivo+Y11	4.2.2	111	77
HM+NOTE+1TD	4.2.2	99	77
vivo+Y15T	4.2.2	96	64
vivo+Y17T	4.2.2	95	72
HM+1SC	4.3	89	65
vivo+S7i(t)	4.2.2	88	71
vivo+Y19t	4.2.1	82	55
R831T	4.2.2	80	56
Coolpad+8720L	4.3	78	47
vivo+X510t	4.2.2	76	55
GT-I9300	4.1.2	75	50
MI+3W	4.3	74	58
R819T	4.2.1	72	52
H30-T00	4.2.2	71	42
R815T	4.2.1	68	49
R827T	4.2.2	64	50
R8007	4.3	63	45
R829T	4.2.2	62	38
vivo+X3L	4.3	62	38
R823T	4.2.1	60	49
MI+3C	4.3	58	44
GT-S7572	4.1.2	56	32
HUAWEI+G750-T01	4.2.2	55	35
M355	4.2.1	55	29
H30-T10	4.2.2	54	26
Coolpad+8297	4.2.2	51	34
HUAWEI+Y325-T00	2.3.6	51	34
vivo+X1St	4.2.1	51	36
X909T	4.2.2	51	29
GT-I8262D	4.1.2	49	32
GT-N7100	4.1.2	49	32
vivo+S7t	4.0.4	47	34
GT-N7100	4.3	45	30
HM+1SW	4.3	45	33
vivo+X1	4.1.1	44	31
Lenovo+A630t	4.0.4	43	25
MI-ONE+Plus	2.3.5	43	30
GT-S5830i	2.3.6	42	22
GT-S7898	4.1.2	41	27
U707T	4.2.1	41	30
Coolpad+5890	4.1.2	40	25
GT-I8552	4.1.2	40	27
GT-I9500	4.2.2	40	24
Lenovo+A278t	2.3.5	40	34
R833T	4.2.2	40	30
R811	4.0.4	39	33
8085	4.0.3	38	24
GT-I9103	2.3.6	38	6
GT-I9152	4.2.2	38	23
Lenovo+A298t	2.3.5	38	27
R813T	4.0.4	38	22
Coolpad+8076D	4.0.3	37	20
Lenovo+A318t	2.3.6	37	24
HUAWEI+C8815	4.1.2	36	20
HUAWEI+G520-T10	4.2.1	36	21
R831S	4.3	36	28
vivo+S11t	4.0.4	36	21
vivo+Y3t	4.0.4	35	27
GT-I9508	4.2.2	34	6
vivo+S7	4.0.4	34	20
Coolpad+7296	4.2.2	33	25
K-Touch+T60	4.2.2	33	23
M040	4.1.1	33	27
X9007	4.3	33	21
Coolpad+8079	4.0.3	32	20
HM+NOTE+1W	4.2.2	32	23
MI+1S	4.0.4	32	21
R2017	4.3	32	26
vivo+Y22	4.2.2	32	19
X907	4.0.3	32	24
Coolpad+7295C	4.2.2	31	22
HUAWEI+G520-5000	4.1.2	31	21
HUAWEI+G610-T11	4.2.2	31	18
SCH-I739	4.1.2	31	8
